SANTRAL_ADI,PLAKA_NO,IL,FIRMA,KURULU_GUC
SUAY_ENERJI_AKBUK_RES,09,AYDIN,SUAY_ENERJI,10,00
ELMALI_RES,33,ICEL,ELMALI_ENERJI_URETIM,9,00
GUNDOGDU_RES,16,BURSA,TURKAY_ALTERNATIF_ENERJIDEN_ELEKTRIK,9,00
AKDAG_RES,42,KONYA,AHSEN_ENERJI_URETIM,8,00
ALACATI_ARES_RES,35,IZMIR,ARES_ENERJI,8,00
EGE_RES,35,IZMIR,POLAT_ENERJI,7,00
HILAL_2_RES,42,KARAMAN,SANKO_ENERJI,7,00
TEPE_RES,34,ISTANBUL,TEPERES_ELEKTIRK,5,00
AYVACIK_RES,17,CANAKKALE,NOTOS_ELEKTIRK_URETIM_AS,5,00
PITANE_RES,35,IZMIR,BICAKCILAR_ELEKTRIK,4,00
SARAY_RES,59,TEKIRDAG,SARAY_ALUMINYUM,4,00
ADA_2_RES,10,BALIKESIR,ESIT_ELEKTRIK_URETIM,3,00
KARABEL_RES,35,IZMIR,EGENER_ELEKTRIK_URETIM,3,00
HAMZABEYLI_RES,22,EDIRNE,MERIC_RUZGAR_ENERJISI,3,00
GARANTI_IPLIK_RES,59,TEKIRDAG,GARANTI_IPLIK,2,00
SANJUT_RES,34,ISTANABUL,SUNJUT_ENERJI,1,00
KAREL_DEMIR_RES,35,IZMIR,KAR-EL_DEMIR,1,00
CAHAN_RES,17,CANAKKALE,NOTOS_ELEKTIRK_URETIM_AS,0,90
BOGAZICI_U._SARITEPE_KAM._RES,34,ISTANBUL,BOGAZICI_UNIVERSITESI,0,90
GOKCE_RES,17,CANAKKALE,NOTOS_ELEKTIRK_URETIM_AS,0,80
DERBY_RES,59,TEKIRDAG,SARAY_ALUMINYUM,0,80
PASALIMANI_RES,10,BALIKESIR,RK_RUZGAR_ENERJI,0,75
YETISEN_RES,31,HATAY,GURIS_HOLDING,0,50
AYYILDIZ_ENERJI_RES,34,ISTANBUL,AYYILDIZ_ENERJI,0,50
KIVAM_GIDA_EZINE_RES,17,CANAKKALE,NOTOS_ELEKTIRK_URETIM_AS,0,50
SERMETAL_KERSE_CIVI_RES,10,BALIKESIR,SERMETAL_KERSE_CIVI_VE_NAKLIYAT,0,25
BEREKET_CIFTLIGI_RES,31,HATAY,BEREKET_ENERJI,0,25
YUCEL_CELTIK_RES,10,BALIKESIR,YUCEL_CIFTLIGI,0,25
TOKAT_OSB_YALCIN_RES,60,TOKAT,ADO_ENERJI_URETIM,0,10
GEDIZ_UNIVERSITESI_RES,35,IZMIR,GEDIZ_UNIVERSITESI,0,10
KARABURUN_BELEDIYE_RES,35,IZMIR,KARABURUN_BELEDIYESI,0,05
SARAYCIK_PETROL_RES,11,BILECIK,SARAYCIK_PETROL,0,05
KATIP_CELEBI_UNIVERSITESI_RES,35,IZMIR,KATIP_CELEBI_UNIVERSITESI,0,02
